_id,title,text,query
<dbpedia:John_Hagelin>,John Hagelin,"John Samuel Hagelin (born June 9, 1954) is an American particle physicist, three-time candidate of the Natural Law Party for President of the United States (1992, 1996, and 2000), and director of the Transcendental Meditation movement for the United States.As a researcher at the European Organization for Nuclear Research (CERN) (1981–1982) and the Stanford Linear Accelerator Center (SLAC) (1982–1983), Hagelin made contributions to the development of unified field theory.",what does john hagelin have a good name for
<dbpedia:Jacobin_(politics)>,Jacobin (politics),"During the French Revolution (1789 to 1799), a Jacobin (French pronunciation: ​[ʒakɔbɛ̃]) was a member of the Jacobin Club, a revolutionary political movement that had been the most famous political club of the French Revolution. The club was so called from the Dominican convent where they originally met, in the Rue Saint-Jacques (Latin: Jacobus) in Paris.Today, Jacobin  and Jacobinism are used in a variety of senses.",what was jacob
<dbpedia:JPEG_Network_Graphics>,JPEG Network Graphics,"JPEG Network Graphics (JNG, /ˈdʒɪŋ/) is a JPEG-based graphics file format which is closely related to PNG: it uses the PNG file structure (with a different signature) as a container format to wrap JPEG-encoded image data.JNG was created as an adjunct to the MNG animation format, but may be used as a stand-alone format.",what is jpg
<dbpedia:James_Whale>,James Whale,"James Whale (22 July 1889 – 29 May 1957)  was an English film director, theatre director and actor. He is best remembered for his four classic horror films: Frankenstein (1931), The Old Dark House (1932), The Invisible Man (1933) and Bride of Frankenstein (1935). Whale also directed films in other genres, including what is considered the definitive film version of the musical Show Boat (1936).",who directed the movies frankenstein
<dbpedia:John_Lynch_(New_Hampshire)>,John Lynch (New Hampshire),"John H. Lynch (born November 25, 1952) is an American businessman and politician who served as the 80th Governor of the U.S. State of New Hampshire. Lynch was first elected Governor in 2004, defeating first-term incumbent Governor Craig Benson - the first time an incumbent Governor was denied a second term in 78 years. Lynch won re-election in landslide victories in 2006 and 2008, and comfortably won a historic fourth term in 2010.",who is governor lynch
<dbpedia:James_Madison_University>,James Madison University,"James Madison University (also known as JMU, Madison, or James Madison) is a public coeducational research university located in Harrisonburg, Virginia, United States. Founded in 1908 as the State Normal and Industrial School for Women at Harrisonburg, the institution was renamed Madison College in 1938, in honor of President James Madison, and named James Madison University in 1977.",where is james madison university located
<dbpedia:John_Danforth>,John Danforth,"John Claggett Danforth (born September 5, 1936) is a former United States Permanent Representative to the United Nations. Before becoming the UN Ambassador he was the Attorney General of Missouri and United States Senator from Missouri. He is also an ordained Episcopal priest.",who is john dandford
<dbpedia:Joshua>,Joshua,"Joshua (/ˈdʒɒʃuːə/) or Jehoshua (Hebrew: יְהוֹשֻׁעַ Yĕhôshúa or Hebrew: יֵשׁוּעַ Yĕshúa; Aramaic: ܝܫܘܥ‎ Isho; Greek: Ἰησοῦς, Arabic: يوشع بن نون‎, Latin: Iosue, Yūshaʿ ibn Nūn, Turkish: Yuşa), is a figure in the Torah, being one of the spies for Israel (Num 13–14) and identified in several passages as Moses' assistant. He is the central character in the Hebrew Bible's Book of Joshua.",who is yoshua in aramaic
<dbpedia:Jerome_Kern>,Jerome Kern,"Jerome David Kern (January 27, 1885 – November 11, 1945) was an American composer of musical theatre and popular music.  One of the most important American theatre composers of the early 20th century, he wrote more than 700 songs, used in over 100 stage works, including such classics as ""Ol' Man River"", ""Can't Help Lovin' Dat Man"", ""A Fine Romance"", ""Smoke Gets in Your Eyes"", ""All the Things You Are"", ""The Way You Look Tonight"", ""Long Ago (and Far Away)"" and ""Who?"".",who is jerome kern
<dbpedia:James_Spader>,James Spader,"James Todd Spader (born February 7, 1960) is an American actor. He is best known for portraying eccentric characters in such films as the action science fiction film Stargate (1994), the controversial psychological thriller Crash (1996), and the erotic romance Secretary (2002).His most well-known television roles are those of attorney Alan Shore in The Practice and its spin-off Boston Legal (for which he won three Emmy Awards), and Robert California in the comedy-mockumentary The Office.",who is james spader
<dbpedia:Jim_Bakker>,Jim Bakker,"James Orsen ""Jim"" Bakker (pronounced ""Baker""; born January 2, 1940) is an American televangelist, a former Assemblies of God minister and a former host (with his then-wife Tammy Faye Bakker) of The PTL Club, a popular evangelical Christian television program.A sex scandal led to his resignation from the ministry. Subsequent revelations of accounting fraud brought about his imprisonment and divorce. He later remarried and returned to televangelism.",who is james bakker
<dbpedia:Jehoshaphat>,Jehoshaphat,"Jehoshaphat (/dʒəˈhɒʃəfæt/; alternatively spelled Jehosaphat, Josaphat, or Yehoshafat; Hebrew: יְהוֹשָׁפָט, Modern Yehoshafat, Tiberian Yəhôšāp̄āṭ ; ""Jehovah has judged""; Greek: Ἰωσαφάτ; Latin: Josaphat) was the fourth king of the Kingdom of Judah, and successor of his father Asa. His children included Jehoram, who succeeded him as king. His mother was Azubah.",what did jehoshaphat edouard say
<dbpedia:Jackal>,Jackal,"The jackal is a small omnivorous mammal of the genus Canis, which also includes the wolf and dog.",what is jackal
<dbpedia:John_Diefenbaker>,John Diefenbaker,"John George Diefenbaker PC CH QC (/ˈdiːfənˌbeɪkər/; September 18, 1895 – August 16, 1979) was the 13th Prime Minister of Canada, serving from June 21, 1957, to April 22, 1963. He was the only Progressive Conservative (PC or Tory) party leader between 1930 and 1979 to lead the party to an election victory, doing so three times, although only once with a majority of seats in the Canadian House of Commons.Diefenbaker was born in southwestern Ontario in 1895.",who was john diefenbaker
<dbpedia:Jacob>,Jacob,"Jacob (later given the name Israel) is considered a patriarch of the Israelites. According to the Book of Genesis, Jacob (/ˈdʒeɪkəb/; Hebrew: יַעֲקֹב Standard Yaʿakov) was the third Hebrew progenitor with whom God made a covenant. He is the son of Isaac and Rebecca, the grandson of Abraham, Sarah and of Bethuel, and the younger twin brother of Esau.",who is jacob in israel
<dbpedia:J._K._Rowling>,J. K. Rowling,"Joanne  ""Jo"" Rowling, OBE FRSL (/ˈroʊlɪŋ/; born 31 July 1965), pen names J. K. Rowling and Robert Galbraith, is a British novelist best known as the author of the Harry Potter fantasy series. The books have gained worldwide attention, won multiple awards, and sold more than 400 million copies. They have become the best-selling book series in history and been the basis for a series of films which is the second highest-grossing film series in history.",who wrote the harry potter series
<dbpedia:Joystick>,Joystick,"A joystick is an input device consisting of a stick that pivots on a base and reports its angle or direction to the device it is controlling. A joystick, also known as the control column, is the principal control device in the cockpit of many civilian and military aircraft, either as a center stick or side-stick.",what is a joystick
<dbpedia:John_the_Baptist>,John the Baptist,"John the Baptist (Ancient Greek: Ἰωάννης ὁ βαπτιστής Ioannēs ho baptistēs or Ἰωάννης ὁ βαπτίζων Ioannēs ho baptizōn  was an itinerant preacher and a major religious figure in Christianity, Islam, the Bahá'í Faith, and Mandaeism.John is described as having the unique practice of baptism for the forgiveness of sins. Most scholars agree that John baptized Jesus.",what was john the baptist believed to have done
<dbpedia:Jimi_Hendrix>,Jimi Hendrix,"James Marshall ""Jimi"" Hendrix (born Johnny Allen Hendrix; November 27, 1942 – September 18, 1970) was an American rock guitarist, singer, and songwriter. Although his mainstream career spanned only four years, he is widely regarded as one of the most influential electric guitarists in the history of popular music, and one of the most celebrated musicians of the 20th century.",what was jimi hendrix born
<dbpedia:Society_of_Jesus>,Society of Jesus,"The Society of Jesus (Latin: Societas Iesu, S.J., SJ or SI) is a male religious congregation of the Catholic Church. The members are called Jesuits. The society is engaged in evangelization and apostolic ministry in 112 nations on six continents. Jesuits work in education (founding schools, colleges, universities and seminaries), intellectual research, and cultural pursuits.",how many jesuits are in the sj
<dbpedia:John_William_Polidori>,John William Polidori,"John William Polidori (7 September 1795 – 24 August 1821) was an English writer and physician. He is known for his associations with the Romantic movement and credited by some as the creator of the vampire genre of fantasy fiction. His most successful work was the short story, ""The Vampyre"" (1819), the first published modern vampire story. Although originally and erroneously accredited to Lord Byron, both Byron and Polidori affirmed that the story is Polidori's.",what is polidori best known for
<dbpedia:Jan_Hus>,Jan Hus,"Jan Hus (/hʊs/; Czech: [ˈjan ˈɦus]; c. 1369 – 6 July 1415), often referred to in English as John Hus or John Huss, was a Czech priest, philosopher, early Christian reformer and Master at Charles University in Prague.",what is jnhus
<dbpedia:Homosexuality_and_Judaism>,Homosexuality and Judaism,The subject of homosexual behavior and Judaism dates back to the Torah.,is judaism about homosexuality
<dbpedia:Joint_Political_Military_Group>,Joint Political Military Group,"On November 29, 1983 a memorandum of agreement was set up between Israel and the United States regarding political, military and economic cooperation. Part of the agreement was for a Joint Political Military Group (JPMG) as a high-level planning forum to discuss and implement combined planning, joint exercises, and logistics. The JPMG is co-chaired by the director general of the Israeli Ministry of Defense and the U.S. Assistant Secretary of State for Political-Military Affairs.",what was jpmg
<dbpedia:James_Cagney>,James Cagney,"James Francis Cagney, Jr. (July 17, 1899 – March 30, 1986) was an American actor and dancer, both on stage and in film, though he had his greatest impact in film. Known for his consistently energetic performances, distinctive vocal style, and deadpan comic timing, he won acclaim and major awards for a wide variety of performances.",who is james magnany
<dbpedia:Jacquard_loom>,Jacquard loom,"The Jacquard loom is a mechanical loom, invented by Joseph Marie Jacquard, first demonstrated in 1801, that simplifies the process of manufacturing textiles with such complex patterns as brocade, damask and matelasse. The loom was controlled by a ""chain of cards"", a number of punched cards, laced together into a continuous sequence. Multiple rows of holes were punched on each card, with one complete card corresponding to one row of the design.",what year was the jacquard loom invented
<dbpedia:James_Watt>,James Watt,"James Watt, FRS, FRSE (30 January 1736 (19 January 1736 OS) – 25 August 1819) was a Scottish inventor and mechanical engineer whose Watt steam engine, an improvement of the Newcomen steam engine, was fundamental to the changes brought by the Industrial Revolution in both his native Great Britain and the rest of the world.While working as an instrument maker at the University of Glasgow, Watt became interested in the technology of steam engines.",what was james watt inventor
<dbpedia:James_Clavell>,James Clavell,"James Clavell (10 October 1921 – 6 September 1994), born Charles Edmund Dumaresq Clavell, was an Australian-born British (later naturalized American) novelist, screenwriter, director, and World War II veteran and prisoner of war. Clavell is best known for his epic Asian Saga series of novels and their televised adaptations, along with such films as The Great Escape (1963) and To Sir, with Love (1967).",who is james clavell
<dbpedia:Jewish_prayer>,Jewish prayer,"Jewish prayer (Hebrew: תְּפִלָּה, tefillah [tefiˈla]; plural Hebrew: תְּפִלּוֹת, tefillos or tefillot [tefiˈlot]; Yiddish תּפֿלה tfile [ˈtfɪlə], plural תּפֿלות tfilles [ˈtfɪləs]; Yinglish: davening /ˈdɑːvənɪŋ/ from Yiddish דאַוונען daven ‘to pray’) are the prayer recitations and Jewish meditation traditions that form part of the observance of Rabbinic Judaism. These prayers, often with instructions and commentary, are found in the siddur, the traditional Jewish prayer book.",what is a jewish prayer
<dbpedia:John_Cade>,John Cade,"Dr John Frederick Joseph Cade AO (18 January 1912 – 16 November 1980) was an Australian psychiatrist credited with discovering (in 1948) the effects of lithium carbonate as a mood stabilizer in the treatment of bipolar disorder (then known as manic depression). In an age where the standard treatments for psychosis were electroconvulsive therapy and lobotomy, lithium had the distinction of being the first effective medication available to treat a mental illness.",how was lithium used to treat depression
<dbpedia:Johann_von_Werth>,Johann von Werth,"Count Johann von Werth (1591 – 16 January 1652), also Jan von Werth or in French Jean de Werth, was a German general of cavalry in the Thirty Years' War.",who was johann von werth?
<dbpedia:Jordanes>,Jordanes,"Jordanes (/dʒɔrˈdeɪniːz/), also written Jordanis or, uncommonly, Jornandes, was a 6th-century Roman bureaucrat, who turned his hand to history later in life.While he also wrote Romana about the history of Rome, his best-known work is his Getica, written in Constantinople  about AD 551.",where was jordanes from
<dbpedia:John_James_Rickard_Macleod>,John James Rickard Macleod,"John James Rickard Macleod, FRS (6 September 1876 – 16 March 1935) was a Scottish biochemist and physiologist. He devoted his career to diverse topics in physiology and biochemistry, but was chiefly interested in carbohydrate metabolism. He is noted for his role in the discovery and isolation of insulin during his tenure as a lecturer at the University of Toronto, for which he and Frederick Banting received the 1923 Nobel prize in Physiology or Medicine.",who discovered insulin
<dbpedia:John_Wayne>,John Wayne,"Marion Mitchell Morrison (born Marion Robert Morrison; May 26, 1907 – June 11, 1979), better known by his stage name John Wayne, was an American film actor, director, and producer. An Academy Award-winner for True Grit (1969), Wayne was among the top box office draws for three decades.",when did john wayne died
"<dbpedia:Jackson_County,_Michigan>","Jackson County, Michigan","Jackson County is a county located in the U.S. state of Michigan. Its population was 160,248 as of the 2010 Census. The county seat is Jackson. The county was set off in 1829 and organized in 1832. It is named for U.S.",what county is jackson michigan
<dbpedia:Jihad>,Jihad,"Jihad (English pronunciation: /dʒɪˈhɑːd/; Arabic: جهاد‎ jihād [dʒiˈhæːd]) is an Islamic term referring to the religious duty of Muslims to maintain the religion. In Arabic, the word jihād is a noun meaning ""to strive, to apply oneself, to struggle, to persevere."" A person engaged in jihad is called a mujahid, the plural of which is mujahideen (مجاهدين).",what is the jihad
<dbpedia:Jacques_Lacan>,Jacques Lacan,"Jacques Marie Émile Lacan (/ləˈkɑːn/; French: [ʒak lakɑ̃]; 13 April 1901 – 9 September 1981), known simply as Jacques Lacan, was a French psychoanalyst and psychiatrist who has been called ""the most controversial psycho-analyst since Freud"". Giving yearly seminars in Paris from 1953 to 1981, Lacan influenced many leading French intellectuals in the 1960s and the 1970s, especially those associated with poststructuralism.",who was jacques lacan
"<dbpedia:John_George,_Elector_of_Brandenburg>","John George, Elector of Brandenburg",John George of Brandenburg (German: Johann Georg) (11 September 1525 – 8 January 1598) was a Prince-elector of the Margraviate of Brandenburg (1571–1598) and a Duke of Prussia.,who is john george
<dbpedia:Jaguar>,Jaguar,"The jaguar (/ˈdʒæɡjuːər, ˈdʒæɡjʊər, ˈdʒæɡjuːɑr/ or /ˈdʒæɡwɑr/), Panthera onca, is a big cat, a feline in the Panthera genus, and is the only extant Panthera species native to the Americas. The jaguar is the third-largest feline after the tiger and the lion, and the largest in the Americas. The jaguar's present range extends from Southwestern United States and Mexico across much of Central America and south to Paraguay and northern Argentina.",what is jaguar
<dbpedia:Jacob_Lawrence>,Jacob Lawrence,"Jacob Lawrence (September 7, 1917 – June 9, 2000) was an African-American painter known for his portrayal of African-American life. Lawrence referred to his style as ""dynamic cubism,"" though by his own account the primary influence was not so much French art as the shapes and colors of Harlem.Lawrence is among the best-known 20th-century African-American painters. He was 23 years old when he gained national recognition with his 60-panel Migration Series, painted on cardboard.",who was jacob lawrence
<dbpedia:John_Locke>,John Locke,"John Locke FRS (/ˈlɒk/; 29 August 1632 – 28 October 1704) was an English philosopher and physician regarded as one of the most influential of Enlightenment thinkers and known as the ""Father of Classical Liberalism"". Considered one of the first of the British empiricists, following the tradition of Sir Francis Bacon, he is equally important to social contract theory. His work greatly affected the development of epistemology and political philosophy.",who is john locke
<dbpedia:Justinian_I>,Justinian I,"Justinian I (/dʒʌˈstɪniən/; Latin: Flavius Petrus Sabbatius Iustinianus Augustus, Greek: Φλάβιος Πέτρος Σαββάτιος Ἰουστινιανός Flávios Pétros Sabbátios Ioustinianós) (c. 482 – 14 November 565), traditionally known as Justinian the Great and also Saint Justinian the Great in the Eastern Orthodox Church, was a Byzantine (East Roman) emperor from 527 to 565. During his reign, Justinian sought to revive the empire's greatness and reconquer the lost western half of the historical Roman Empire.",who was justininian?
<dbpedia:Jim_Henson>,Jim Henson,"James Maury ""Jim"" Henson (September 24, 1936 – May 16, 1990) was an American puppeteer, artist, cartoonist, inventor, screenwriter, actor, film director, and producer. Born in Greenville, Mississippi, and raised in Leland, Mississippi, and Hyattsville, Maryland, he began developing puppets while attending high school. While he was a freshman at the University of Maryland, College Park, he created Sam and Friends, a five-minute sketch-comedy puppet show that appeared on television.",what was jim henson
<dbpedia:John_Dewey>,John Dewey,"John Dewey, FAA (/ˈduːi/; October 20, 1859 – June 1, 1952) was an American philosopher, psychologist, Georgist, and educational reformer whose ideas have been influential in education and social reform. Dewey is one of the primary figures associated with the philosophy of pragmatism and is considered one of the founders of functional psychology.",is dewey considered the founder of functional psychology
<dbpedia:Juliana_Hatfield>,Juliana Hatfield,"Juliana Hatfield (born July 27, 1967) is an American musician and singer-songwriter from the Boston area. She was formerly of the indie rock bands Blake Babies and Some Girls and now performs as a solo artist, and as one half of Minor Alps, alongside Matthew Caws of Nada Surf. In December 2014, Paste Magazine named her cover of the ""Needle in the Hay"", a song by Elliott Smith, as No.",who is juliana hatfield
<dbpedia:John_Fink>,John Fink,"John Fink (born February 11, 1940) is an American film and television actor.In the 1970-1971 the NBC sitcom Nancy, Fink was cast as an Iowa veterinarian, Dr. Adam Hudson, who marries the daughter of the President of the United States. The short-lived series starred Renne Jarrett (born 1946) as the title character and Celeste Holm and Robert F.",when was john fink born
<dbpedia:J._Philippe_Rushton>,J. Philippe Rushton,"John Philippe Rushton (December 3, 1943 – October 2, 2012) was a British-born Canadian psychology professor at the University of Western Ontario who became known to the general public during the 1980s and 1990s for research on race and intelligence, race and crime, and other apparent racial variation.",j phillipe rushton definition
<dbpedia:Jennifer_Lopez>,Jennifer Lopez,"Jennifer Lynn Lopez (born July 24, 1969), also known as J. Lo, is an American actress, author, fashion designer, dancer, producer, and singer. She became interested in pursuing a career in the entertainment industry following a minor role in the 1986 film My Little Girl, to the dismay of her Puerto Rican parents, who believed that it was an unrealistic career route for a Hispanic.",when was jennifer lopez born
<dbpedia:Janis_Joplin>,Janis Joplin,"Janis Lyn Joplin (/ˈdʒɑːplɪn/; January 19, 1943 – October 4, 1970) was a US singer-songwriter who first rose to fame in the late 1960s as the lead singer of the psychedelic/acid rock band Big Brother and the Holding Company, and later as a solo artist with her own backing groups, The Kozmic Blues Band and The Full Tilt Boogie Band.",what band did janis joplin come from
